NAME,DP05_0001E,DP02_0016E,DP02_0112E,DP03_0025E,Median Household Income,DP03_0119PE
"Adrian city, Texas",116,2.54,16,32,50000,7.1
"Hitchcock city, Texas",7633,3.4,1408,26.6,48966,19.5
"Hondo city, Texas",9119,3.87,3989,22.3,49038,9.7
"Encinal city, Texas",862,4.64,682,17.4,37727,4.7
"Palestine city, Texas",18318,3.37,3784,16.8,38122,15.4
"Byers city, Texas",603,3.28,15,34.8,44231,6.3
"Bolivar Peninsula CDP, Texas",2190,2.96,353,25.2,49737,14.7
"La Marque city, Texas",15912,3.43,3322,25.1,45113,13.6
"Paducah town, Texas",1229,2.76,313,15.2,30486,23.1
"Tiki Island village, Texas",861,2.14,55,39.9,120625,3.5
"Giddings city, Texas",5010,3.44,1452,18.5,45000,19.6
"Bruni CDP, Texas",213,2.45,164,28.4,-,16
"Naples city, Texas",1292,2.78,36,25.9,35056,16.7
"Crystal City city, Texas",7401,4.15,5533,12.8,26000,28.8
"La Pryor CDP, Texas",1531,4.27,904,17.5,23298,27.1
"Lawn town, Texas",302,2.82,36,25.8,47321,10.4
"North Pearsall CDP, Texas",1372,4.72,708,10.9,43092,7.1
"La Homa CDP, Texas",13260,4.3,11079,22.1,27790,36.3
"Mila Doce CDP, Texas",6354,4.7,5183,26.1,23618,50.4
"Olivarez CDP, Texas",4255,5.03,3238,28.5,24359,39.3
"Pilot Point city, Texas",4246,3.21,1350,23.1,47261,18.6
"Corpus Christi city, Texas",322726,3.27,110906,19.2,53626,12.1
"North San Pedro CDP, Texas",452,3.03,346,26.9,38825,10.9
"Cisco city, Texas",3800,2.98,212,12.1,31063,9.4
"Carbon town, Texas",338,3.45,27,21.3,30625,5.2
"Nesbitt town, Texas",162,2,2,18.4,-,32.6
"Gruver city, Texas",1227,3.58,433,13.6,42852,3.8
"Santa Maria CDP, Texas",808,3.99,627,15.7,31618,21.4
"Palm Valley city, Texas",1814,2.91,414,17.4,80144,1
"Port Isabel city, Texas",5049,3.39,2773,17.9,34389,23.7
"Reid Hope King CDP, Texas",1160,4.68,991,N,26346,31.5
"Villa del Sol CDP, Texas",113,11.3,51,N,-,100
"Nolanville city, Texas",4878,3.41,553,24.1,53814,13
"Pine Island town, Texas",1196,3.59,392,30.3,42813,7.7
"Killeen city, Texas",140513,3.37,29464,21.3,48898,12.2
"Little River-Academy city, Texas",1989,3.55,376,19.9,48182,10.5
"Troy city, Texas",1980,3.46,76,25,53650,6.5
"Quail CDP, Texas",4,2,0,N,-,0
"Samnorwood CDP, Texas",43,4.78,0,N,-,0
"Roscoe city, Texas",1403,3.3,578,15.8,56528,7.1
"Willow Park city, Texas",4857,2.88,179,32.1,96051,1.4
"Weimar city, Texas",2299,3.54,345,15.9,41538,16.1
"Ross city, Texas",269,3.47,49,24.5,53929,2.9
"Karnes City city, Texas",3303,3.9,1387,16.2,44531,16.3
"Kyle city, Texas",36929,3.62,9183,34.3,72822,5.5
"Hamilton city, Texas",2943,3.01,210,12.4,31788,18.7
"Fort Hancock CDP, Texas",1466,4.66,1238,37.4,17857,41.4
"Kennard city, Texas",229,2.72,2,27.9,20917,11.6
"Longview city, Texas",82219,3.25,13836,18.6,45692,14.4
"White Oak city, Texas",6367,3.19,283,25.9,58783,17.6
"Brackettville city, Texas",2016,4.71,1233,11.7,37056,6.2
"Galveston city, Texas",49706,3.02,12277,20.6,42486,15.5
"La Presa CDP, Texas",254,4.13,245,31.6,23182,45
"Ranchos Penitas West CDP, Texas",1011,4.89,884,28.4,39861,25.1
"Caldwell city, Texas",4239,3.25,751,19.9,44614,19.1
"Bishop Hills town, Texas",303,3.07,5,22.9,106875,0
"Bandera city, Texas",785,3.11,123,23.3,38750,12.4
"Lakehills CDP, Texas",5447,3.32,556,42.4,61028,16.3
"Miami city, Texas",475,2.91,54,17.2,66250,1.6
"Hemphill city, Texas",1422,3.77,154,17.4,24659,32
"Pineland city, Texas",702,3.53,10,24.6,24438,29.7
"Cinco Ranch CDP, Texas",18200,3.32,5877,34.5,141992,3
"Jersey Village city, Texas",7896,2.9,1264,28,61983,5
"Southside Place city, Texas",1704,3.29,440,19.3,167813,5.3
"Coyote Acres CDP, Texas",791,4.8,223,42.8,96667,8.8
"Knox City town, Texas",1155,3.08,253,20,45658,2.9
"Providence Village town, Texas",6548,3.55,659,39.2,88662,6.1
"San Saba city, Texas",3006,3.51,884,14.7,27639,16.7
"Sandy Point city, Texas",119,2.89,4,35.5,63750,5.7
